0x0009 1 X..X............, 2 bits, 2 clusters
0x0011 1 X...X..........., 2 bits, 2 clusters
0x0012 1 .X..X..........., 2 bits, 2 clusters
0x0013 1 XX..X..........., 3 bits, 2 clusters
0x0019 1 X..XX..........., 3 bits, 2 clusters
0x0021 1 X....X.........., 2 bits, 2 clusters
0x0022 1 .X...X.........., 2 bits, 2 clusters
0x0023 1 XX...X.........., 3 bits, 2 clusters
0x0024 1 ..X..X.........., 2 bits, 2 clusters
0x0026 1 .XX..X.........., 3 bits, 2 clusters
0x0027 1 XXX..X.........., 4 bits, 2 clusters
0x0031 1 X...XX.........., 3 bits, 2 clusters
0x0032 1 .X..XX.........., 3 bits, 2 clusters
0x0033 1 XX..XX.........., 4 bits, 2 clusters
0x0039 1 X..XXX.........., 4 bits, 2 clusters
0x0041 1 X.....X........., 2 bits, 2 clusters
0x0042 1 .X....X........., 2 bits, 2 clusters
0x0043 1 XX....X........., 3 bits, 2 clusters
0x0044 1 ..X...X........., 2 bits, 2 clusters
0x0046 1 .XX...X........., 3 bits, 2 clusters
0x0047 1 XXX...X........., 4 bits, 2 clusters
0x0048 1 ...X..X........., 2 bits, 2 clusters
0x0049 1 X..X..X........., 3 bits, 3 clusters
0x004c 1 ..XX..X........., 3 bits, 2 clusters
0x004e 1 .XXX..X........., 4 bits, 2 clusters
0x004f 1 XXXX..X........., 5 bits, 2 clusters
0x0061 1 X....XX........., 3 bits, 2 clusters
0x0062 1 .X...XX........., 3 bits, 2 clusters
0x0063 1 XX...XX........., 4 bits, 2 clusters
0x0064 1 ..X..XX........., 3 bits, 2 clusters
0x0066 1 .XX..XX........., 4 bits, 2 clusters
0x0067 1 XXX..XX........., 5 bits, 2 clusters
0x0071 1 X...XXX........., 4 bits, 2 clusters
0x0072 1 .X..XXX........., 4 bits, 2 clusters
0x0073 1 XX..XXX........., 5 bits, 2 clusters
0x0079 1 X..XXXX........., 5 bits, 2 clusters
0x0081 1 X......X........, 2 bits, 2 clusters
0x0082 1 .X.....X........, 2 bits, 2 clusters
0x0083 1 XX.....X........, 3 bits, 2 clusters
0x0084 1 ..X....X........, 2 bits, 2 clusters
0x0086 1 .XX....X........, 3 bits, 2 clusters
0x0087 1 XXX....X........, 4 bits, 2 clusters
0x0088 1 ...X...X........, 2 bits, 2 clusters
0x0089 1 X..X...X........, 3 bits, 3 clusters
0x008c 1 ..XX...X........, 3 bits, 2 clusters
0x008e 1 .XXX...X........, 4 bits, 2 clusters
0x008f 1 XXXX...X........, 5 bits, 2 clusters
0x0090 1 ....X..X........, 2 bits, 2 clusters
0x0091 1 X...X..X........, 3 bits, 3 clusters
0x0092 1 .X..X..X........, 3 bits, 3 clusters
0x0093 1 XX..X..X........, 4 bits, 3 clusters
0x0098 1 ...XX..X........, 3 bits, 2 clusters
0x0099 1 X..XX..X........, 4 bits, 3 clusters
0x009c 1 ..XXX..X........, 4 bits, 2 clusters
0x009e 1 .XXXX..X........, 5 bits, 2 clusters
0x009f 1 XXXXX..X........, 6 bits, 2 clusters
0x00c1 1 X.....XX........, 3 bits, 2 clusters
0x00c2 1 .X....XX........, 3 bits, 2 clusters
0x00c3 1 XX....XX........, 4 bits, 2 clusters
0x00c4 1 ..X...XX........, 3 bits, 2 clusters
0x00c6 1 .XX...XX........, 4 bits, 2 clusters
0x00c7 1 XXX...XX........, 5 bits, 2 clusters
0x00c8 1 ...X..XX........, 3 bits, 2 clusters
0x00c9 1 X..X..XX........, 4 bits, 3 clusters
0x00cc 1 ..XX..XX........, 4 bits, 2 clusters
0x00ce 1 .XXX..XX........, 5 bits, 2 clusters
0x00cf 1 XXXX..XX........, 6 bits, 2 clusters
0x00e1 1 X....XXX........, 4 bits, 2 clusters
0x00e2 1 .X...XXX........, 4 bits, 2 clusters
0x00e3 1 XX...XXX........, 5 bits, 2 clusters
0x00e4 1 ..X..XXX........, 4 bits, 2 clusters
0x00e6 1 .XX..XXX........, 5 bits, 2 clusters
0x00e7 1 XXX..XXX........, 6 bits, 2 clusters
0x00f1 1 X...XXXX........, 5 bits, 2 clusters
0x00f2 1 .X..XXXX........, 5 bits, 2 clusters
0x00f3 1 XX..XXXX........, 6 bits, 2 clusters
0x00f9 1 X..XXXXX........, 6 bits, 2 clusters
0x0101 1 X.......X......., 2 bits, 2 clusters
0x0102 1 .X......X......., 2 bits, 2 clusters
0x0103 1 XX......X......., 3 bits, 2 clusters
0x0104 1 ..X.....X......., 2 bits, 2 clusters
0x0106 1 .XX.....X......., 3 bits, 2 clusters
0x0107 1 XXX.....X......., 4 bits, 2 clusters
0x0108 1 ...X....X......., 2 bits, 2 clusters
0x0109 1 X..X....X......., 3 bits, 3 clusters
0x010c 1 ..XX....X......., 3 bits, 2 clusters
0x010e 1 .XXX....X......., 4 bits, 2 clusters
0x010f 1 XXXX....X......., 5 bits, 2 clusters
0x0110 1 ....X...X......., 2 bits, 2 clusters
0x0111 1 X...X...X......., 3 bits, 3 clusters
0x0112 1 .X..X...X......., 3 bits, 3 clusters
0x0113 1 XX..X...X......., 4 bits, 3 clusters
0x0118 1 ...XX...X......., 3 bits, 2 clusters
0x0119 1 X..XX...X......., 4 bits, 3 clusters
0x011c 1 ..XXX...X......., 4 bits, 2 clusters
0x011e 1 .XXXX...X......., 5 bits, 2 clusters
0x011f 1 XXXXX...X......., 6 bits, 2 clusters
0x0120 1 .....X..X......., 2 bits, 2 clusters
0x0121 1 X....X..X......., 3 bits, 3 clusters
0x0122 1 .X...X..X......., 3 bits, 3 clusters
0x0123 1 XX...X..X......., 4 bits, 3 clusters
0x0124 1 ..X..X..X......., 3 bits, 3 clusters
0x0126 1 .XX..X..X......., 4 bits, 3 clusters
0x0127 1 XXX..X..X......., 5 bits, 3 clusters
